file_name,AUC,TSS
"Epiclopus_wagenknechti_(Ruiz,_1938)_performance",0.999863333,0.99944
"Amegilla_urens_(Cockerell,_1911)_performance",0.999748571,0.9995
"Xylocopa_ruficeps_Friese,_1910_performance",0.999684615,0.9993
"Lasioglossum_fijiense_(Perkins_and_Cheesman,_1928)_performance",0.999617143,0.99782
"Alloscirtetica_chilena_Urban,_1971_performance",0.999567912,0.99554
"Colletes_atripes_Smith,_1854_performance",0.999411429,0.9945
"Colletes_atacamensis_Janvier,_1955_performance",0.999227051,0.9972
"Bombus_coccineus_Friese,_1903_performance",0.998921176,0.99758
"Parasarus_atacamensis_Ruz,_1993_performance",0.998813704,0.98954
"Caenohalictus_rostraticeps_(Friese,_1916)_performance",0.998726282,0.99166
"Centris_buchholzi_Herbst,_1918_performance",0.998624827,0.99314
"Alloscirtetica_valparadisaea_(Herbst,_1920)_performance",0.998610167,0.99256
"Bombus_bicoloratus_Smith,_1879_performance",0.998579238,0.98406
"Edwyniana_herrerae_(Toro,_1968)_performance",0.99856875,0.98896
"Nesocolletes_paahaumaa_(Donovan,_2007)_performance",0.998485667,0.98794
"Anthidium_deceptum_Smith,_1879_performance",0.998009123,0.9873
"Andrena_uvulariae_Mitchell,_1960_performance",0.997902484,0.99146
"Caupolicana_gayi_Spinola,_1851_performance",0.997858172,0.99124
"Chalepogenus_rozeni_Roig-Alsina,_1999_performance",0.997687132,0.9856
"Xanthesma_furcifera_(Cockerell,_1913)_performance",0.997564286,0.99494
"Amegilla_walkeri_(Cockerell,_1905)_performance",0.997430256,0.99084
"Colletes_gilvus_Vachal,_1909_performance",0.997415322,0.98512
"Andrena_pulverea_Viereck,_1917_performance",0.997350917,0.99278
"Neofidelia_profuga_Moure_and_Michener,_1955_performance",0.997318476,0.97666
"Rediviva_parva_Whitehead_and_Steiner,_2001_performance",0.996855,0.9923
"Xylocopa_disconota_Friese,_1914_performance",0.996559679,0.9886
"Lasioglossum_disclusum_(Cockerell,_1914)_performance",0.996492428,0.961684348
"Panurginus_nigrihirtus_Michener,_1936_performance",0.996465962,0.97004
"Manuelia_postica_(Spinola,_1851)_performance",0.99630586,0.98388
"Bombus_beaticola_(Tkalců,_1968)_performance",0.996284167,0.96478
"Alloscirtetica_gayi_(Spinola,_1851)_performance",0.996272389,0.97222
